tipo_solo,seca,chuva,mes_plantio,irrigacao,pragas,regiao,perda_safra
argiloso,severa,normal,outubro,irrigado,alta,transicao,Não
argiloso,nenhuma,pouca,novembro,plantio_direto,media,planalto,Sim
argiloso,nenhuma,pouca,novembro,convencional,media,planalto,Não
argiloso,nenhuma,normal,novembro,plantio_direto,baixa,baixada,Não
argiloso,nenhuma,normal,outubro,plantio_direto,media,planalto,Não
medio,nenhuma,pouca,outubro,plantio_direto,media,baixada,Não
argiloso,nenhuma,excessiva,dezembro,plantio_direto,baixa,transicao,Não
medio,moderada,pouca,novembro,plantio_direto,baixa,transicao,Não
argiloso,moderada,normal,novembro,plantio_direto,alta,planalto,Não
argiloso,nenhuma,normal,outubro,plantio_direto,alta,transicao,Não
medio,nenhuma,pouca,outubro,plantio_direto,media,baixada,Não
argiloso,nenhuma,pouca,novembro,irrigado,media,baixada,Não
argiloso,severa,normal,novembro,convencional,baixa,transicao,Não
medio,nenhuma,normal,novembro,plantio_direto,media,planalto,Não
argiloso,nenhuma,pouca,outubro,irrigado,baixa,baixada,Não
argiloso,moderada,normal,novembro,plantio_direto,alta,planalto,Não
arenoso,nenhuma,normal,novembro,plantio_direto,media,transicao,Não
medio,severa,normal,novembro,plantio_direto,media,planalto,Não
argiloso,nenhuma,pouca,outubro,plantio_direto,media,planalto,Não
argiloso,severa,normal,dezembro,plantio_direto,baixa,baixada,Não
arenoso,nenhuma,normal,novembro,convencional,baixa,planalto,Não
medio,severa,pouca,novembro,irrigado,media,transicao,Não
argiloso,nenhuma,normal,novembro,plantio_direto,media,planalto,Não
medio,moderada,normal,outubro,irrigado,media,transicao,Não
arenoso,nenhuma,pouca,novembro,plantio_direto,media,planalto,Não
arenoso,moderada,normal,dezembro,plantio_direto,alta,planalto,Sim
argiloso,nenhuma,normal,novembro,plantio_direto,alta,baixada,Não
argiloso,moderada,excessiva,outubro,plantio_direto,media,transicao,Não
arenoso,nenhuma,excessiva,novembro,plantio_direto,alta,transicao,Não
argiloso,nenhuma,excessiva,novembro,plantio_direto,media,planalto,Não
argiloso,moderada,normal,dezembro,plantio_direto,alta,transicao,Não
argiloso,nenhuma,normal,outubro,plantio_direto,media,planalto,Não
medio,severa,pouca,outubro,plantio_direto,media,planalto,Sim
argiloso,nenhuma,normal,outubro,plantio_direto,media,planalto,Não
argiloso,nenhuma,excessiva,outubro,convencional,media,transicao,Não
argiloso,nenhuma,pouca,novembro,irrigado,baixa,planalto,Não
argiloso,severa,excessiva,outubro,plantio_direto,alta,planalto,Não
medio,moderada,normal,outubro,plantio_direto,baixa,transicao,Não
medio,moderada,normal,dezembro,plantio_direto,baixa,baixada,Não
arenoso,nenhuma,pouca,novembro,plantio_direto,media,transicao,Sim
argiloso,nenhuma,normal,outubro,plantio_direto,media,planalto,Não
argiloso,severa,pouca,outubro,plantio_direto,alta,transicao,Sim
argiloso,severa,normal,novembro,irrigado,media,transicao,Não
medio,nenhuma,normal,dezembro,convencional,media,transicao,Não
medio,nenhuma,excessiva,novembro,convencional,baixa,transicao,Sim
arenoso,nenhuma,normal,outubro,plantio_direto,media,planalto,Não
arenoso,severa,pouca,outubro,plantio_direto,baixa,planalto,Sim
medio,nenhuma,normal,dezembro,plantio_direto,media,transicao,Não
medio,moderada,excessiva,outubro,plantio_direto,media,planalto,Não
argiloso,nenhuma,normal,novembro,plantio_direto,baixa,baixada,Não
argiloso,nenhuma,excessiva,outubro,irrigado,alta,baixada,Não
argiloso,nenhuma,pouca,outubro,plantio_direto,baixa,transicao,Não
medio,severa,excessiva,outubro,plantio_direto,media,planalto,Não
medio,moderada,normal,outubro,convencional,baixa,transicao,Sim
medio,severa,normal,dezembro,convencional,media,planalto,Não
argiloso,moderada,pouca,outubro,plantio_direto,media,transicao,Não
arenoso,nenhuma,pouca,outubro,irrigado,alta,planalto,Não
arenoso,severa,pouca,dezembro,plantio_direto,media,planalto,Sim
argiloso,severa,normal,outubro,irrigado,alta,transicao,Não
argiloso,nenhuma,normal,outubro,plantio_direto,media,transicao,Não
arenoso,nenhuma,pouca,dezembro,convencional,media,planalto,Sim
argiloso,nenhuma,normal,outubro,plantio_direto,baixa,transicao,Não
argiloso,moderada,normal,novembro,plantio_direto,baixa,planalto,Não
argiloso,nenhuma,pouca,novembro,plantio_direto,baixa,baixada,Não
medio,nenhuma,normal,outubro,convencional,media,planalto,Não
argiloso,moderada,excessiva,outubro,plantio_direto,media,baixada,Não
argiloso,moderada,normal,novembro,plantio_direto,media,transicao,Não
argiloso,nenhuma,normal,outubro,plantio_direto,media,planalto,Não
arenoso,nenhuma,normal,outubro,plantio_direto,media,baixada,Não
argiloso,severa,pouca,novembro,plantio_direto,baixa,planalto,Não
arenoso,nenhuma,pouca,outubro,plantio_direto,media,transicao,Não
medio,nenhuma,pouca,outubro,convencional,alta,planalto,Não
medio,moderada,excessiva,outubro,plantio_direto,media,transicao,Não
argiloso,nenhuma,normal,outubro,plantio_direto,media,transicao,Não
argiloso,nenhuma,normal,dezembro,convencional,baixa,baixada,Não
arenoso,severa,normal,outubro,plantio_direto,baixa,transicao,Não
argiloso,moderada,normal,outubro,plantio_direto,alta,planalto,Não
argiloso,severa,pouca,outubro,plantio_direto,media,planalto,Sim
argiloso,moderada,normal,outubro,plantio_direto,alta,baixada,Não
medio,nenhuma,normal,dezembro,irrigado,media,transicao,Não
argiloso,nenhuma,normal,novembro,plantio_direto,alta,planalto,Não
arenoso,severa,excessiva,dezembro,plantio_direto,baixa,planalto,Sim
medio,severa,pouca,outubro,convencional,baixa,planalto,Sim
medio,severa,normal,novembro,convencional,media,transicao,Não
argiloso,severa,normal,dezembro,irrigado,baixa,baixada,Não
argiloso,moderada,normal,dezembro,plantio_direto,media,planalto,Não
argiloso,nenhuma,normal,outubro,plantio_direto,alta,transicao,Não
arenoso,nenhuma,normal,novembro,plantio_direto,baixa,planalto,Não
medio,nenhuma,normal,outubro,plantio_direto,alta,transicao,Não
medio,nenhuma,pouca,dezembro,plantio_direto,media,planalto,Não
argiloso,moderada,normal,dezembro,plantio_direto,media,planalto,Não
arenoso,severa,excessiva,novembro,plantio_direto,alta,planalto,Sim
argiloso,nenhuma,normal,novembro,plantio_direto,media,transicao,Não
argiloso,moderada,normal,novembro,plantio_direto,alta,planalto,Não
medio,severa,pouca,outubro,plantio_direto,baixa,planalto,Não
arenoso,nenhuma,normal,outubro,plantio_direto,media,baixada,Não
medio,severa,excessiva,dezembro,convencional,baixa,planalto,Sim
argiloso,nenhuma,normal,outubro,plantio_direto,media,transicao,Não
argiloso,moderada,normal,outubro,convencional,alta,transicao,Sim
argiloso,severa,pouca,novembro,plantio_direto,alta,planalto,Não
medio,moderada,pouca,outubro,plantio_direto,baixa,planalto,Não
argiloso,severa,normal,novembro,plantio_direto,alta,transicao,Não
arenoso,nenhuma,normal,novembro,plantio_direto,media,baixada,Não
arenoso,nenhuma,normal,dezembro,plantio_direto,media,baixada,Não
medio,moderada,normal,novembro,convencional,media,planalto,Não
medio,moderada,pouca,outubro,plantio_direto,baixa,planalto,Não
argiloso,nenhuma,normal,outubro,plantio_direto,media,planalto,Não
argiloso,moderada,normal,outubro,plantio_direto,media,planalto,Não
arenoso,severa,excessiva,outubro,plantio_direto,baixa,planalto,Sim
argiloso,nenhuma,normal,outubro,plantio_direto,baixa,planalto,Não
medio,nenhuma,normal,outubro,irrigado,baixa,transicao,Não
argiloso,nenhuma,pouca,dezembro,irrigado,baixa,planalto,Não
argiloso,nenhuma,pouca,dezembro,plantio_direto,media,transicao,Não
argiloso,nenhuma,pouca,outubro,plantio_direto,media,transicao,Não
medio,moderada,pouca,outubro,convencional,media,planalto,Não
arenoso,moderada,normal,outubro,plantio_direto,baixa,transicao,Não
arenoso,nenhuma,pouca,outubro,plantio_direto,media,baixada,Não
medio,moderada,normal,dezembro,plantio_direto,media,planalto,Não
medio,nenhuma,excessiva,outubro,irrigado,media,planalto,Não
arenoso,nenhuma,normal,outubro,plantio_direto,media,transicao,Não
argiloso,nenhuma,pouca,novembro,plantio_direto,baixa,planalto,Não
argiloso,severa,normal,dezembro,plantio_direto,baixa,transicao,Não
argiloso,nenhuma,normal,novembro,plantio_direto,baixa,baixada,Não
arenoso,moderada,excessiva,outubro,irrigado,baixa,planalto,Não
medio,severa,normal,outubro,plantio_direto,media,planalto,Sim
medio,nenhuma,excessiva,outubro,convencional,baixa,transicao,Não
argiloso,nenhuma,pouca,outubro,plantio_direto,media,planalto,Não
medio,moderada,excessiva,novembro,plantio_direto,baixa,baixada,Não
arenoso,moderada,normal,novembro,plantio_direto,baixa,planalto,Não
argiloso,moderada,normal,outubro,plantio_direto,media,planalto,Não
medio,moderada,pouca,novembro,plantio_direto,baixa,planalto,Não
argiloso,nenhuma,normal,outubro,convencional,alta,transicao,Não
medio,nenhuma,pouca,outubro,plantio_direto,baixa,transicao,Não
argiloso,moderada,normal,outubro,convencional,media,transicao,Não
argiloso,moderada,pouca,outubro,convencional,baixa,transicao,Não
arenoso,nenhuma,pouca,novembro,plantio_direto,alta,planalto,Sim
arenoso,nenhuma,pouca,novembro,plantio_direto,alta,transicao,Sim
medio,moderada,normal,outubro,plantio_direto,baixa,planalto,Não
argiloso,moderada,normal,novembro,plantio_direto,baixa,baixada,Não
medio,nenhuma,pouca,novembro,irrigado,alta,baixada,Sim
arenoso,nenhuma,pouca,novembro,convencional,media,transicao,Sim
argiloso,nenhuma,normal,novembro,irrigado,baixa,transicao,Não
arenoso,nenhuma,pouca,outubro,plantio_direto,media,transicao,Não
argiloso,moderada,normal,outubro,plantio_direto,baixa,planalto,Não
argiloso,severa,normal,novembro,plantio_direto,media,planalto,Não
argiloso,nenhuma,pouca,outubro,plantio_direto,alta,planalto,Sim
arenoso,nenhuma,excessiva,outubro,plantio_direto,baixa,baixada,Não
medio,nenhuma,normal,dezembro,plantio_direto,media,planalto,Não
argiloso,moderada,pouca,outubro,plantio_direto,baixa,planalto,Não
argiloso,moderada,pouca,dezembro,plantio_direto,baixa,planalto,Não
medio,nenhuma,normal,dezembro,plantio_direto,media,transicao,Não
arenoso,nenhuma,normal,outubro,plantio_direto,media,transicao,Não
argiloso,nenhuma,excessiva,dezembro,plantio_direto,baixa,transicao,Não
argiloso,severa,normal,outubro,plantio_direto,baixa,transicao,Não
medio,moderada,excessiva,novembro,plantio_direto,baixa,transicao,Não
medio,nenhuma,normal,dezembro,irrigado,media,planalto,Não
medio,moderada,pouca,dezembro,irrigado,baixa,baixada,Não
argiloso,moderada,pouca,dezembro,convencional,baixa,planalto,Sim
argiloso,nenhuma,pouca,novembro,plantio_direto,media,planalto,Não
argiloso,moderada,excessiva,outubro,plantio_direto,media,planalto,Não
medio,nenhuma,excessiva,novembro,plantio_direto,baixa,transicao,Não
arenoso,nenhuma,normal,outubro,plantio_direto,media,planalto,Não
medio,nenhuma,pouca,novembro,plantio_direto,alta,transicao,Não
medio,nenhuma,normal,novembro,plantio_direto,alta,transicao,Sim
arenoso,nenhuma,normal,novembro,plantio_direto,baixa,transicao,Não
argiloso,moderada,normal,outubro,plantio_direto,media,transicao,Não
medio,nenhuma,pouca,outubro,plantio_direto,media,planalto,Não
arenoso,moderada,pouca,novembro,plantio_direto,baixa,planalto,Não
argiloso,nenhuma,normal,novembro,irrigado,baixa,baixada,Não
arenoso,nenhuma,normal,outubro,convencional,baixa,transicao,Sim
argiloso,moderada,normal,novembro,plantio_direto,media,transicao,Não
argiloso,severa,pouca,outubro,plantio_direto,media,planalto,Sim
arenoso,severa,pouca,outubro,plantio_direto,alta,transicao,Sim
medio,nenhuma,normal,outubro,irrigado,media,planalto,Não
arenoso,nenhuma,pouca,outubro,irrigado,baixa,planalto,Não
arenoso,nenhuma,excessiva,outubro,irrigado,baixa,planalto,Não
arenoso,moderada,pouca,outubro,plantio_direto,baixa,planalto,Não
medio,nenhuma,normal,outubro,plantio_direto,media,baixada,Não
argiloso,nenhuma,normal,outubro,plantio_direto,alta,transicao,Não
arenoso,nenhuma,normal,outubro,plantio_direto,media,transicao,Não
arenoso,nenhuma,normal,outubro,convencional,baixa,transicao,Não
argiloso,nenhuma,pouca,dezembro,plantio_direto,alta,planalto,Não
medio,moderada,normal,novembro,plantio_direto,baixa,baixada,Não
argiloso,severa,pouca,outubro,plantio_direto,media,planalto,Não
arenoso,nenhuma,normal,novembro,plantio_direto,baixa,planalto,Não
arenoso,nenhuma,excessiva,outubro,plantio_direto,media,transicao,Sim
argiloso,nenhuma,normal,dezembro,plantio_direto,media,baixada,Não
arenoso,moderada,normal,novembro,plantio_direto,alta,transicao,Sim
argiloso,nenhuma,normal,dezembro,convencional,baixa,baixada,Não
arenoso,severa,pouca,outubro,plantio_direto,baixa,baixada,Sim
argiloso,severa,normal,novembro,convencional,media,baixada,Não
argiloso,moderada,pouca,novembro,irrigado,baixa,transicao,Não
medio,moderada,normal,dezembro,irrigado,media,planalto,Não
argiloso,nenhuma,normal,novembro,plantio_direto,alta,planalto,Não
medio,severa,pouca,outubro,plantio_direto,media,baixada,Sim
arenoso,severa,pouca,outubro,irrigado,media,planalto,Sim
argiloso,nenhuma,pouca,novembro,irrigado,media,planalto,Não
medio,severa,pouca,outubro,plantio_direto,baixa,planalto,Não
argiloso,moderada,pouca,dezembro,plantio_direto,alta,baixada,Sim
medio,severa,pouca,outubro,plantio_direto,alta,planalto,Sim
argiloso,severa,normal,dezembro,plantio_direto,media,transicao,Não
argiloso,nenhuma,normal,outubro,plantio_direto,baixa,planalto,Não
medio,severa,pouca,outubro,plantio_direto,media,planalto,Sim
arenoso,moderada,excessiva,outubro,plantio_direto,alta,planalto,Sim
arenoso,nenhuma,normal,outubro,convencional,media,baixada,Sim
medio,moderada,normal,outubro,irrigado,baixa,baixada,Não
argiloso,nenhuma,normal,novembro,convencional,media,planalto,Não
argiloso,nenhuma,excessiva,novembro,plantio_direto,media,planalto,Não
medio,moderada,normal,outubro,plantio_direto,baixa,planalto,Não
argiloso,nenhuma,normal,novembro,plantio_direto,media,planalto,Não
argiloso,nenhuma,normal,outubro,plantio_direto,baixa,planalto,Não
medio,nenhuma,normal,novembro,irrigado,media,transicao,Não
arenoso,nenhuma,normal,dezembro,plantio_direto,alta,transicao,Sim
arenoso,moderada,normal,dezembro,convencional,media,transicao,Sim
arenoso,nenhuma,pouca,dezembro,convencional,baixa,planalto,Não
argiloso,severa,excessiva,novembro,plantio_direto,alta,baixada,Sim
argiloso,nenhuma,normal,outubro,plantio_direto,alta,transicao,Não
medio,nenhuma,normal,outubro,plantio_direto,media,baixada,Não
medio,nenhuma,normal,novembro,plantio_direto,media,planalto,Não
medio,nenhuma,normal,outubro,plantio_direto,media,planalto,Não
argiloso,nenhuma,pouca,dezembro,irrigado,baixa,baixada,Não
argiloso,nenhuma,excessiva,outubro,convencional,baixa,baixada,Não
arenoso,nenhuma,normal,novembro,plantio_direto,baixa,baixada,Não
arenoso,severa,pouca,novembro,plantio_direto,baixa,transicao,Sim
arenoso,severa,normal,outubro,convencional,alta,planalto,Sim
arenoso,moderada,normal,novembro,plantio_direto,media,planalto,Sim
argiloso,moderada,normal,dezembro,plantio_direto,baixa,planalto,Não
medio,moderada,normal,outubro,plantio_direto,media,baixada,Não
medio,moderada,normal,outubro,plantio_direto,media,transicao,Sim
arenoso,moderada,excessiva,outubro,plantio_direto,alta,planalto,Não
medio,nenhuma,normal,outubro,plantio_direto,media,transicao,Não
argiloso,nenhuma,normal,novembro,convencional,media,transicao,Não
argiloso,nenhuma,normal,dezembro,plantio_direto,alta,planalto,Não
arenoso,nenhuma,normal,novembro,irrigado,alta,baixada,Não
medio,moderada,pouca,novembro,irrigado,baixa,planalto,Não
argiloso,moderada,excessiva,outubro,convencional,baixa,transicao,Não
arenoso,moderada,normal,novembro,convencional,alta,planalto,Sim
argiloso,nenhuma,pouca,novembro,plantio_direto,media,planalto,Não
argiloso,moderada,normal,novembro,plantio_direto,baixa,planalto,Não
argiloso,severa,excessiva,dezembro,plantio_direto,alta,transicao,Sim
argiloso,nenhuma,normal,dezembro,plantio_direto,baixa,planalto,Não
arenoso,nenhuma,normal,novembro,convencional,media,transicao,Não
medio,nenhuma,normal,novembro,plantio_direto,media,transicao,Não
